hashtags,dates,tweets,location,followers,fav,reply,retweet
INCIndia,Thu Apr 24 13:40:56 +0000 2014,#BJP Judge holds Framed #Marò for votes IAW http://t.co/sx7mucjFnV #BJP4India #INCIndia #BJP #INC #AAP #Modi #Gandhi #CongressParty,Andaman & Nicobar Islands,1486,0,0,0
rahulgandhi,Thu Apr 24 11:07:27 +0000 2014,"बोले बगैर रहा नहीं जाता क्या? ""@oneindiaHindi: राहुल गांधी ने कहा नरेंद्र मोदी महिलाओं की इज्‍जत करना नहीं जाते हैं  #RahulGandhi""",Andaman & Nicobar Islands,65,0,0,0
congress,Tue May 06 11:46:01 +0000 2014,#congress #obama: Toledo's future may have already begun - Toledo Blade http://t.co/pA3mYX1unk,Andaman & Nicobar Islands,164,0,0,0
rahulgandhi,Tue May 06 11:24:48 +0000 2014,"#RahulGandhi : Obama is also afraid of Sanjay Jha coz once he saw him in the dark and thought it's Steve Jobs, @ratigirl ;",Andaman & Nicobar Islands,151,0,0,0
soniagandhi,Mon May 05 10:51:03 +0000 2014,"#SoniaGandhi is addressing a rally at Muzzaffarpur, Bihar",Andaman & Nicobar Islands,320,0,2,0
RGinUP,Tue May 06 09:02:58 +0000 2014,#RGinUP : We have pulled out 15 crore people out of poverty in last ten years,Andaman & Nicobar Islands,320,0,0,0
congress,Fri May 09 10:23:23 +0000 2014,#Congress: Calling any caste 'neech' or low is insulting. #Backward classes have been hurt by #Modi's 'neech jaati' comment.,Andaman & Nicobar Islands,3196123,2,4,2
INCIndia,Tue May 06 17:07:02 +0000 2014,#Gujarat land acquisition model best #NaMo #INCIndia http://t.co/42Kc7YhK70,Andaman & Nicobar Islands,390,0,0,0
soniagandhi,Sat May 10 09:46:07 +0000 2014,Vote on the poll Do u think Sonia gandhi is a indian on http://t.co/L1jCzWvQeS #SoniaGandhi  http://t.co/kpSbJ9Ies8 via @itimestweets,Andaman & Nicobar Islands,5,0,0,0
RGinUP,Sat May 10 08:22:54 +0000 2014,I want to build partnership between industrialists and labours :#RGinUP,Andaman & Nicobar Islands,320,0,0,0
congress,Wed Apr 30 11:13:49 +0000 2014,#BJP #Congress @narendramodi ppl must question &amp; tear apart lives of politicians. immorality in pvt life means corruption in public life,Andaman & Nicobar Islands,1,0,0,0
rahulgandhi,Wed Apr 30 07:39:41 +0000 2014,#RahulGandhi सिर्फ जोड़ने का काम करते हैं: #PriyankaGandhi http://t.co/cjUQzaLMIj #LoksabhaElections2014,Andaman & Nicobar Islands,6884,0,0,2
INCIndia,Wed Apr 30 06:50:51 +0000 2014,vote for INDIA asks @digvijaya_28 #JhaSanjay #INCIndia @priyankac19 #congress how come support 4m MUKHTAR in #Varanasi what say @M_Lekhi,Andaman & Nicobar Islands,405,0,0,1
congress,Sat May 03 10:40:58 +0000 2014,"#AAP, #Congress Supporters Clash Ahead Of #RahulGandhi's Rally In #Amethi » The Indian Republic http://t.co/mGF71BkrAu",Andaman & Nicobar Islands,643,0,0,0
soniagandhi,Sat May 03 03:20:15 +0000 2014,Modi: #SoniaGandhi released convict #Lalu fm jail to support her 2 fight electns. Why didn't she release all convicts to help her?,Andaman & Nicobar Islands,1746,1,0,0
rahulgandhi,Thu Apr 24 10:35:19 +0000 2014,#RahulGandhi joins #PriyankaGandhi in attacking Narendra #Modi on snoopgate http://t.co/NYifASuVwD,Andaman & Nicobar Islands,3196112,1,2,1
congress,Sun Apr 27 11:36:45 +0000 2014,#congress #obama: Boys basketball: Boulder bounces back at Legacy - Broomfield Enterprise http://t.co/V6mgTKOZSn,Andaman & Nicobar Islands,164,0,0,0
rahulgandhi,Sun Apr 27 07:40:03 +0000 2014,@ANI_news ha ha ha .... Modi wave in Rahul Brain :P #RahulGandhi,Andaman & Nicobar Islands,1012,0,0,0
soniagandhi,Sat Apr 26 12:52:13 +0000 2014,"#PriyankaGandhi ""do not vote for outsiders"".
what about #soniagandhi then..
and if i am not wrong then the whole #gandhi family is outsider!",Andaman & Nicobar Islands,64,0,0,1
congress,Fri May 09 11:56:46 +0000 2014,"BJP open to support from all parties: Amit Shah! 
My Question is does they ready to take support from #Congress n #APP Come16May @C_h_i_r_U",Andhra Pradesh,1442,1,0,2
rahulgandhi,Tue May 06 11:49:10 +0000 2014,"@INCIndia @digvijaya_28 @KapilSibal @Ahmad_Shakeel @ANI_news @dna @ZeeNews @comedywithkapil

#LOL  Dear #RahulGandhi

http://t.co/kre3Jc7e2J",Andhra Pradesh,1786,0,1,0
congress,Mon May 12 11:47:33 +0000 2014,I wonder how #Congress won in many regions of #Telangana in MNCP polls. Means there are many people who supports vote bank politics. Right,Andhra Pradesh,1046,0,0,0
congress,Wed Apr 30 11:07:12 +0000 2014,"#Congress complains that #modi never addresses Press Conference, now when he addressed it they have problem with that too. #shame",Andhra Pradesh,963,0,0,0
rahulgandhi,Wed Apr 30 11:05:34 +0000 2014,Aaj #RahulGandhi ko @digvijaya_28 ne achcha jawab diya hai. #CongressDoubleSpeak,Andhra Pradesh,963,0,0,0
soniagandhi,Tue Apr 29 12:47:07 +0000 2014,"Will Sonia Gandhi get her Return of Investment from Telangana?
#Telangana #SoniaGandhi #KCR #ChandrababuNaidu... http://t.co/23CqibJ25f",Andhra Pradesh,1090,0,0,0
soniagandhi,Tue Apr 29 12:43:53 +0000 2014,#India2014 #SoniaGandhi Assembly and Lok Sabha Elections in #Telangana on April 30 | http://t.co/Tz8caJAdt7 http://t.co/IvFwTS4mHw,Andhra Pradesh,1090,0,0,0
soniagandhi,Sat May 03 06:12:03 +0000 2014,#SoniaGandhi public meeting in #Guntur turns out to be a big flop | http://t.co/Tz8caJAdt7 http://t.co/sQQgTAwrAM #Congress #Seemandhra,Andhra Pradesh,1090,0,0,1
soniagandhi,Fri May 02 13:14:36 +0000 2014,OMG...frns once take a close look at that picture.Its #SoniaGandhi in exotic style. #Modi #CheerUpLiam #Elections2014 http://t.co/5Vw7iIEhbQ,Andhra Pradesh,1046,0,0,0
congress,Thu Apr 24 11:25:18 +0000 2014,Vote for #Congress Stand with Hand !! Danam Nagender http://t.co/IZumWcdvvx,Andhra Pradesh,1,0,0,0
congress,Thu Apr 24 11:03:17 +0000 2014,@TweetingJhadu govt doesnt effect my personal comfort..btr than playin second fiddle 2 #CONgress .. Sheila happy as Gov thnks 2 ur 49 day CM,Andhra Pradesh,216,0,0,0
soniagandhi,Wed Apr 23 04:48:18 +0000 2014,#Telangana would not have been formed without #SoniaGandhi : Shri #RahulGandhi,Andhra Pradesh,386,0,0,0
soniagandhi,Wed Apr 23 03:42:26 +0000 2014,"This is the first time in the history of #India to use technology like this... Hats off to his thoughts. #Modi  ,#SoniaGandhi mad stuck.",Andhra Pradesh,1046,1,0,0
rahulgandhi,Sun Apr 27 11:27:29 +0000 2014,#RahulGandhi gaffe continues. God help from this man. #CongressMuktBharat,Andhra Pradesh,963,0,0,0
rahulgandhi,Sun Apr 27 10:11:35 +0000 2014,@timesnow Last trick of #Congress failed. #RahulGandhi and #PriyankaGandhi failed in all aspects.,Andhra Pradesh,963,0,0,0
rahulgandhi,Sun Apr 27 10:00:01 +0000 2014,#Power in Every Hand; #Progress for Everyone !! Vote #Rahulgandhi Vote for Indian National Congress !! Dr P Vinay... http://t.co/CsEcVoYm5e,Andhra Pradesh,1,0,0,0
rahulgandhi,Sun Apr 27 06:54:37 +0000 2014,Koi Agar ye kahe ki Rahul Gandhi ke paas dil hai toh use bada bewakoof is desh mein koi nahi... #RahulGandhi #Pappu,Andhra Pradesh,963,0,0,0
congress,Mon May 12 11:04:10 +0000 2014,"#Congress ahead in #Telangana, #TDP in #Seemandhra municipal polls http://t.co/RXGwkByECy",Andhra Pradesh,10632,0,0,0
congress,Wed Apr 30 11:58:15 +0000 2014,"Empty Economics. Indian_Elections,#elections2014, #IndianElections014, #congress,#BJP, #AAP,  http://t.co/peUJV62vGl",Andhra Pradesh,2172,0,0,0
rahulgandhi,Wed Apr 30 10:34:16 +0000 2014,#RahulGandhi's interview with Metro India http://t.co/IBCJUz63gC,Andhra Pradesh,160,0,0,0
rahulgandhi,Wed Apr 30 07:10:38 +0000 2014,"Jammer car of #RahulGandhi convoy hit by Yashwanthapur express at unmanned crossing during dry run b4 hs rally in Anantpur,Driver injured.",Andhra Pradesh,2570,0,0,0
rahulgandhi,Wed Apr 30 07:10:38 +0000 2014,"Jammer car of #RahulGandhi convoy hit by Yashwanthapur express at unmanned crossing during dry run b4 hs rally in Anantpur,Driver injured.",Andhra Pradesh,2570,0,0,0
soniagandhi,Mon Apr 28 07:33:17 +0000 2014,"Spl CBI court tuk cognizance of OMC case ChargeSheet, d den HM SabitaReddy made accused. Ystrdy #SoniaGandhi hd a rally in favor of sabitha.",Andhra Pradesh,2570,0,0,0
congress,Thu Apr 24 11:58:25 +0000 2014,"Empty Economics. Indian_Elections,#elections2014, #IndianElections014, #congress,#BJP, #AAP,  http://t.co/peUJV62vGl",Andhra Pradesh,2172,0,0,0
congress,Sun Apr 27 11:58:18 +0000 2014,"Empty Economics. Indian_Elections,#elections2014, #IndianElections014, #congress,#BJP, #AAP,  http://t.co/peUJV62vGl",Andhra Pradesh,2172,0,0,0
soniagandhi,Sun Apr 27 11:59:21 +0000 2014,Technical snag in Helicopter forced Congress president #SoniaGandhi to travel on road to reach 2nd rally #Telangana http://t.co/ik5GVBqUmB,Andhra Pradesh,2570,0,0,0
rahulgandhi,Mon May 12 09:44:01 +0000 2014,"Need more time to think of an answer?
EC grants #RahulGandhi 3 more days to respond to show cause notice on his alleged remarks against #BJP",Andhra Pradesh,2232,0,0,0
congress,Fri May 09 11:03:56 +0000 2014,"#Congress #Azad : If wishes were horses, beggars would ride.",Andhra Pradesh,301,0,0,0
congress,Sun Apr 27 10:56:47 +0000 2014,Sonia Gandhi speaking in Chvella . #RangaReddy #Telangana . #Congress,Andhra Pradesh,9297,0,0,0
congress,Sun Apr 27 11:06:43 +0000 2014,"I wish #sachin #amitabh and such legendaries rethinks on supporting #congress 
#DamaadGate",Andhra Pradesh,108,0,0,0
soniagandhi,Fri May 02 16:34:16 +0000 2014,"తెలంగాణ తప్పలేదు, బాధపడ్డా: సోనియా, తెలుగులో.. http://t.co/7qd7b9LOsO #soniagandhi via @thatsTelugu",Andhra Pradesh,3220,0,0,0
congress,Thu Apr 24 11:53:29 +0000 2014,"Apr 24, 1800:
Library of Congress established http://t.co/pPMKXlN9x4 #HISTORY #tcot #twisters #Congress #tlot #p2 #lnyhbt",Andhra Pradesh,6177,0,0,0
INCIndia,Sat May 03 08:11:58 +0000 2014,#incindia #bjp #aap post #elections2014 please be considerate &amp; don't block bills to let them sit there for next 101 years don't be foolish,Andhra Pradesh,144,0,0,0
rahulgandhi,Sun Apr 27 08:29:43 +0000 2014,"#rahulgandhi a visionary like #rajiv,I had a good laugh.But i guess you can compare them;Both didn`t do anything noteworthy irl.",Andhra Pradesh,124,0,0,0
soniagandhi,Sun Apr 27 07:51:29 +0000 2014,May god save India from #NarendraModi model: #SoniaGandhi http://t.co/iZhK2dwCQo,Andhra Pradesh,452,0,0,0
rahulgandhi,Fri May 09 10:19:41 +0000 2014,Shameful Rahul Gandhi still going on #RahulGandhi #Congress,Andhra Pradesh,134,0,0,0
rahulgandhi,Tue May 06 10:45:21 +0000 2014,"#RahulGandhi at Jaunpur (UP): We want soon to see 'made in India/ UP' labels in cameras, watches, T shirts, mobile phones etc",Andhra Pradesh,7071,1,1,0
RGinUP,Mon May 05 12:05:45 +0000 2014,There are five bills pending in the parliament against corruption : #RGinUP,Andhra Pradesh,7071,0,1,0
soniagandhi,Fri May 09 11:16:39 +0000 2014,#SoniaGandhi at Bihar: But terrorism came down under @UPAGovt ; we took several bold steps to tackle it,Andhra Pradesh,7071,1,6,0
congress,Mon May 12 11:11:52 +0000 2014,"#Congress wiped out in #Seemandhra municipal polls
http://t.co/sYh5FuwsaV",Andhra Pradesh,332,0,0,0
soniagandhi,Mon May 12 06:30:23 +0000 2014,After the #2002 #Gujarat massacre of #Muslims I thought #SoniaGandhi would provide the healing touch India... http://t.co/m4eO5ReyqQ,Andhra Pradesh,10536,0,0,0
rahulgandhi,Wed Apr 30 08:45:28 +0000 2014,"##RahulGandhi 
therapy of rahul gandhi ohhhhhhhh congrete dijvijaiiiii jiiii http://t.co/rqZr8xpXn3",Andhra Pradesh,48,0,0,0
rahulgandhi,Sat May 03 11:45:01 +0000 2014,As a Result of #RahulGandhi 's Women Empowerment??? I doubt so :) http://t.co/5xqnNKpG5A,Andhra Pradesh,3085,0,0,0
congress,Thu Apr 24 11:25:16 +0000 2014,@BeingSalmanKhan aap vote nai karoge?#congress #congressloyalite,Andhra Pradesh,68,0,0,0
soniagandhi,Thu Apr 24 10:07:13 +0000 2014,Sonia Gandhi loses tax-free railway bonds worth Rs 10 lakh http://t.co/iSAG2CtIIJ #SoniaGandhi,Andhra Pradesh,4153749,5,5,3
soniagandhi,Wed Apr 23 06:14:54 +0000 2014,#SoniaGandhi: BJP's leader (#Modi) is crossing all limits to mislead people. To get PM’s chair he is creating a craze in the whole country,Andhra Pradesh,7071,1,3,1
soniagandhi,Sat Apr 26 11:13:02 +0000 2014,"@rahulkumar5060 @skumar_94 You forget to mention #soniagandhi . Yes, #AAPtards never answer these things,neither their leader do.",Andhra Pradesh,180,0,0,1
congress,Wed Apr 30 11:32:05 +0000 2014,#Congress cites #WorldBank report hits back at #Modi http://t.co/cXcV9VzFf6,Andhra Pradesh,733,0,0,0
INCIndia,Mon Apr 28 03:08:43 +0000 2014,@CongressALL I don't get it. why would a #INCIndia MP say anything nice about Modi. What's your point?,Andhra Pradesh,26,0,0,0
congress,Sat May 03 11:39:20 +0000 2014,"#GOP Renews War With Obama Over #Benghazi
#US #Congress http://t.co/e7HKguRwOv",Andhra Pradesh,3082,0,1,0
soniagandhi,Sun Apr 27 11:41:51 +0000 2014,"కష్టపడి ఒప్పించాం, హైదరాబాద్ మీదే: టిలో సోనియా http://t.co/FMxoYqixdh #soniagandhi via @thatsTelugu",Andhra Pradesh,2263,0,0,0
INCIndia,Sun May 11 06:08:42 +0000 2014,"@DrKumarVishwas #AAP support #incindia,ur tkt cut when u reached amethi,who will control #AAP?#arvind kejriwal!!#namo4pm makes No U Turns",Andhra Pradesh,151,0,0,0
INCIndia,Wed May 07 17:24:10 +0000 2014,#INCIndia #Modi The Man who wants head of #Marò #BJP #CongressParty #BJP4India #INC #AAP  http://t.co/LNrXKoEYFy http://t.co/sr6nq1Ffxs,Andhra Pradesh,5357,0,0,0
INCIndia,Thu Apr 24 12:30:35 +0000 2014,"Indians in Italy ask #Modi #Gandhi #BJP #BJP4India #INC #AAP #INCIndia #INCIndia  FREE MARO’ @htTweets @Striscia
http://t.co/PVHIttuUwY",Andhra Pradesh,5357,1,0,0
INCIndia,Thu Apr 24 12:30:35 +0000 2014,"Indians in Italy ask #Modi #Gandhi #BJP #BJP4India #INC #AAP #INCIndia #INCIndia  FREE MARO’ @htTweets @Striscia
http://t.co/BbNN64hTf9",Andhra Pradesh,1486,0,0,0
soniagandhi,Wed Apr 23 10:58:03 +0000 2014,Does @ArvindKejriwal have guts to utter a single word against #SoniaGandhi?,Andhra Pradesh,205,0,0,0
congress,Tue May 06 11:45:59 +0000 2014,#congress #obama: Abortion funding bill heads to House floor - BenefitsPro http://t.co/pmlANnwWkn,Andhra Pradesh,164,0,0,0
rahulgandhi,Tue May 06 11:12:44 +0000 2014,"We want poor people to educate their children in good schools and universities,and do better in life: #RahulGandhi in Jaunpur",Andhra Pradesh,16,0,0,0
soniagandhi,Mon May 05 09:33:01 +0000 2014,#SoniaGandhi #Jayalalitha #MamataBanerjee #Mayawati - have they groomed the women? Not even a male successor! - @thekiranbedi,Andhra Pradesh,1905,0,2,0
RGinUP,Tue May 06 09:01:42 +0000 2014,"#RGinUP : We are making a dedicated manufacturing corridor, many industries will find their place in that corridor",Andhra Pradesh,320,0,0,0
congress,Fri May 09 10:19:32 +0000 2014,#SoniaGandhi now praises Atal Bihari !! Are they trying to copy his style? Is #Congress all right? #Elections2014,Andhra Pradesh,149,0,0,0
KattarSochNahiYuvaJosh,Thu May 08 11:17:37 +0000 2014,#kattarsochnahiyuvajosh http://t.co/f4dVRHUSQY,Andhra Pradesh,11,0,0,0
soniagandhi,Fri May 09 20:52:36 +0000 2014,"And stupidly-long-&amp;-empty-wordism? ""Keep majoritarianism, authoritarianism at bay: #SoniaGandhi "" http://t.co/AwEjUazckg",Andhra Pradesh,168,0,0,1
RGinUP,Sat May 10 08:20:10 +0000 2014,"When we formed #UPA 1, the first thing we did was to implement #MNREGA to guarantee jobs for rural poor : #RGinUP",Andhra Pradesh,320,0,0,0
congress,Wed Apr 30 11:13:20 +0000 2014,#modi को हो सकती है दो साल की जेल #EC कड़ी कार्रवाई के मूड में http://t.co/ducSPWz9EY … #haribhoomi #vote #election2014 #BJP #Congress #news,Andhra Pradesh,22,0,0,0
soniagandhi,Wed Apr 30 08:53:35 +0000 2014,“Best selfie आए हाए प्यार तो देखो चाचा का http://t.co/ZSbDUuh7hr #mikeroweworks #diggyexposed #SoniaGandhi #INCed @congressmuktbharat,Andhra Pradesh,1012,0,0,0
INCIndia,Wed Apr 30 06:04:15 +0000 2014,"Can the new PM promise 24x7 power, telephone, &amp; broadband internet service +  2 way roads in every village in 5 years? #Modi #INCIndia #AAP",Andhra Pradesh,6,0,0,0
congress,Sat May 03 10:32:35 +0000 2014,"""@HELIPARTH: Na #Congress ko sahi time pe dubaya @digvijaya_28 http://t.co/YgdiFKaY4n""",Andhra Pradesh,41290,1,1,1
soniagandhi,Fri May 02 16:16:15 +0000 2014,Who is bigger corrupt &amp; anti national between #SoniaGandhi &amp; #SharadPawar? after comparing I found they are counterpart of each-other !,Andhra Pradesh,1500,0,0,0
rahulgandhi,Thu Apr 24 10:17:32 +0000 2014,Kud jata @jagranelection हवा में खुल गया #RahulGandhi के हेलीकॉप्टर का दरवाजा http://t.co/guYePP7vy4  #LoksabhaElections2014,Andhra Pradesh,1101,0,0,0
congress,Sun Apr 27 11:36:44 +0000 2014,#congress #obama: NC deputy shot in standoff was blue-on-blue incident - Police News http://t.co/V2WhEx2cPQ,Andhra Pradesh,164,0,0,0
rahulgandhi,Sun Apr 27 07:08:29 +0000 2014,"गर्मी के दिनों में #rahulgandhi को सर ढँक कर निकलना चाहिए क्यूंकि ज्यादा गर्मी से भूसे में आग लग जाने का खतरा होता हैं ।

#AAPWave #Congress",Andhra Pradesh,6,0,0,0
soniagandhi,Sat Apr 26 12:13:48 +0000 2014,27000 crore jobs!!!! Mr @JhaSanjay's effect is rubbing on to INCindia's handle. @priyankac19 #PriyankaLogic #RahulGandhi #SoniaGandhi,Andhra Pradesh,1012,0,0,0
congress,Sat May 03 10:21:14 +0000 2014,Bribes? #Republicans in Congress want to gut state fracking regulations http://t.co/a0ucKcyznV *  @gopleader Beware of Whores in #Congress,Arunachal Pradesh,12453,0,1,0
INCIndia,Sat May 03 07:49:28 +0000 2014,#priyankagandhi #incindia need 75% assurances implemented with transparent progress not seen so strive for it &amp; contest in #elections2019,Arunachal Pradesh,144,0,0,0
congress,Thu Apr 24 11:46:49 +0000 2014,Follow Jesse Smith @jt4congress2014 4 #Congress #AL3 DEFEAT (R) Mike D. Rogers! #Red2Blue @UniteBlueAL #Alabama http://t.co/3wMuAbyWHh,Arunachal Pradesh,30013,0,6,0
soniagandhi,Sun Apr 27 00:02:55 +0000 2014,Rahul &amp; #SoniaGandhi's election manifesto should include how to book emergency flight to Italy! #abkibarmodisarkar,Arunachal Pradesh,150,0,0,0
congress,Mon May 12 10:18:20 +0000 2014,Colorado Congressman courts #bitcoin campaign contributions after Thursday's FEC ruling. #congress #campaign http://t.co/cV0Ukpna9e,Arunachal Pradesh,61,1,0,0
rahulgandhi,Tue May 06 10:44:03 +0000 2014,#RahulGandhi at Jaunpur (UP): People secure jobs in Congress-ruled states,Arunachal Pradesh,7071,1,1,0
RGinUP,Mon May 05 12:05:11 +0000 2014,"They don't see corruption  in Gujarat, they don;t see corrupt minister like Yeddurappa ji : #RGinUP",Arunachal Pradesh,7071,0,0,0
soniagandhi,Fri May 09 11:15:56 +0000 2014,#SoniaGandhi at Bihar: When NDA was in power terrorism was rampant; several people died; I had personally met with the victims,Arunachal Pradesh,7071,1,6,0
congress,Mon May 12 11:10:55 +0000 2014,#Modi का वीडियो संदेश आचार संहिता का उल्लंघन। कांग्रेस की कार्रवाई की मांग। #Congress #NarendraModi http://t.co/tqAyX9v2jj,Arunachal Pradesh,629866,2,1,0
soniagandhi,Mon May 12 06:15:12 +0000 2014,"In 2004 I #voted for #SoniaGandhi to be #India's #PM. Many were upset she's not a natural born citizen. However,... http://t.co/nqermmPkUn",Arunachal Pradesh,10536,0,0,0
rahulgandhi,Wed Apr 30 08:36:19 +0000 2014,ராகுல் காந்தியின் பாதுகாப்பு வாகனம் மீது ரயில் மோதியது- டிரைவர் உயிர் தப்பினார் http://t.co/lnYSg8GNgA #RahulGandhi,Arunachal Pradesh,290935,0,0,0
rahulgandhi,Sat May 03 11:39:19 +0000 2014,"This is Novel idea! after TV, Laptops, Rice etc. #RahulGandhi in Amethi: We want to give ATMs to poor people",Arunachal Pradesh,380,0,0,0
congress,Thu Apr 24 11:22:55 +0000 2014,@aanifateema me 2!!vote for congress=vote for development!!#congress #congressloyalite #congresstillidie,Arunachal Pradesh,68,0,0,0
soniagandhi,Thu Apr 24 09:05:05 +0000 2014,"Live Blog: #SoniaGandhi enters #NaMo territory, addresses rally in Gujarat http://t.co/crv3FAn4SX",Arunachal Pradesh,1745006,0,1,0
soniagandhi,Wed Apr 23 06:13:36 +0000 2014,"#SoniaGandhi: Some parties are there whose main agenda is to spread lies against the Congress. Especially, the BJP's leader (#Modi)",Arunachal Pradesh,7071,0,4,0
soniagandhi,Tue May 06 09:46:40 +0000 2014,"#SoniaGandhi is female version of Ravana रावण &amp; #Kejriwal is AhiRavana अहिरावण । #KapilSibal is कुम्भ करण ,,,",Arunachal Pradesh,122733,3,2,2
rahulgandhi,Sat May 03 08:31:11 +0000 2014,#BJP approaches #poll panel against #RahulGandhi http://t.co/VzjZMpkDgE,Arunachal Pradesh,733,0,0,0
rahulgandhi,Tue May 06 11:48:17 +0000 2014,"एक साल से #RahulGandhi को #Pappu_Pappu कहकर मजाक उडायी, और जिससै मेरी सगाई हुई उसका नाम भी #PappuRam हे!",Arunachal Pradesh,8249,9,4,9
congress,Sat May 03 10:45:37 +0000 2014,"#Congress and the regulation of Unmanned Systems in the #US
2015 HASC #NDAA #drones http://t.co/NgGMWkZkLe",Arunachal Pradesh,3082,0,0,0
soniagandhi,Wed Apr 23 08:46:52 +0000 2014,"पंकज उदास ने बरसों पहले गाया था - चाँदी जैसा रँग है तेरा सोने  जैसे बाल,एक तू ही धनवान है गोरी बाकी सब कंगाल #SoniaGandhi @BJP4India",Arunachal Pradesh,773,0,0,0
congress,Sun Apr 27 11:46:23 +0000 2014,"Poor #Pelosi lost 9million,how will she squeak by on 26.43 million? #taxes #congress #taxdollarswasted #republicans https://t.co/Evc1znbsIY",Arunachal Pradesh,35376,0,1,0
