hashtags,dates,tweets,location,followers,fav,reply,retweet
namo,Mon Apr 08 08:37:18 +0000 2019,"@BJP4Delhi @LevinaNeythiri @ippatel @narendramodi @BJPLive https://t.co/tuQViJUkrd
#BJP2019 #BJPManifesto… https://t.co/nTsJvWFVpf",Andaman & Nicobar Islands,82,1,0,0
modi,Fri Apr 05 11:37:58 +0000 2019,"A newsreport by @laraseligman is dangerous for #Modi's #ElectionCompaigne.

Did #India shootdown a #Pakistani… https://t.co/5No9NvBTwg",Andaman & Nicobar Islands,500,0,0,1
modi,Fri Apr 05 11:36:31 +0000 2019,"गोधरा नरसंहार 
#Modi aur musalman",Andaman & Nicobar Islands,15,0,0,0
hindu,Mon Apr 08 09:27:07 +0000 2019,#navratri2019#Navratri #jaimaadurga  #nainadevi  #jaimatadi #jaimaakali  #नवरात्रि #गुड़ी_पड़वा #Gudipadwa… https://t.co/aCykR8AVjF,Andaman & Nicobar Islands,123,0,0,0
bjp,Wed Apr 03 11:58:52 +0000 2019,"Little did Nehru know in 1928 while he threw himself in movement of *Simon Go back*, that after 91 years the countr… https://t.co/DSsvoXdU9N",Andaman & Nicobar Islands,58,0,0,0
namo,Thu Apr 04 09:04:32 +0000 2019,"लेकर झंडा #भाजपा का हम हर #बूथ तक जाएंगे 

तुम करो तैयारी #जश्न की हम फिर #सरकार_बनाएँगे
 #Namo #Again     #जयश्रीराम🙏
@Rishusuryavansh",Andaman & Nicobar Islands,47,2,0,0
chowkidarNarendraModi,Fri Apr 05 08:00:51 +0000 2019,Mera Chowkidar mera abhiman🚩🌷👑💐 @jayantsinha @narendramodi @arunjaitley @Ra_THORe @rsprasad @AkashVOnline #BJP… https://t.co/E672LFMBVu,Andaman & Nicobar Islands,29,1,0,0
bjp,Tue Apr 09 11:49:50 +0000 2019,"ये बीमारी तो अभी प्रायः सभी राजनीतिक दलों में है ।"" #BJP #congress #Politics 
#LokSabhaElections2019 https://t.co/VAwCVke1VU",Andaman & Nicobar Islands,789,4,0,0
maibhichowkidar,Mon Apr 08 05:56:57 +0000 2019,"""I may Not be a #Bhakt-- but of course, I am a #Modi fan''
#MaiBhiChowkidar
@narendramodi @Ra_THORe @PMOIndia",Andaman & Nicobar Islands,1293,2,0,0
modi,Sun Apr 07 11:04:00 +0000 2019,@ReallySwara shocking?! does it shock you even today? It is way of life in #Hindutva hate bloated #Modi's #India...,Andaman & Nicobar Islands,150,0,0,0
maibhichowkidar,Sun Apr 07 09:01:07 +0000 2019,ब्रेकिंग न्यूज़ :- आज कश्मीर के 919 गद्दार नेताओं की सुरक्षा में लगे 2768 जवान और 689 गाड़ियां सरकार ने वापस  ली!!!… https://t.co/5Ib6XsQpTs,Andaman & Nicobar Islands,183,4,0,0
ModiHaiToMumkinHai,Sun Apr 07 11:32:26 +0000 2019,@ArnabSpeaks_ #ModiHaiToMumkinHai,Andaman & Nicobar Islands,8,0,0,0
amitshah,Wed Apr 03 11:44:11 +0000 2019,"Glimpses: आज (03/04/2019) भाजपा राष्ट्रीय अध्यक्ष श्री #AmitShah जी की उधमपुर में जनसभा।
#PhirEkBaarModiSarkar… https://t.co/M7hkGZLedj",Andaman & Nicobar Islands,34,4,0,0
ModiLaoDeshBanao,Wed Apr 10 11:32:40 +0000 2019,#ModiLaoDeshBanao #ModiHaiToMumkinHai #ModiAgain #PhirEkBaarModiSarkar Over 900 artistes urge people to vote for BJ… https://t.co/0kdniHfJvh,Andaman & Nicobar Islands,1206,1,0,0
chowkidarNarendraModi,Wed Apr 03 09:49:56 +0000 2019,"सुरक्षित भारत के लिये एक बार फ़िर मोदी सरकार

#ChowkidarNarendraModi #ChowkidarPhirSe #NamoAgain2019 https://t.co/f0FyJvlWlH",Andaman & Nicobar Islands,1663,1,0,0
hindu,Wed Apr 10 11:33:35 +0000 2019,ALLAHU AKBAR https://t.co/xg8jlUD8V5 via @redbubble #religion #allahuakbar #christianity #muslim #budhist #islam… https://t.co/X0PN8WRTwt,Andaman & Nicobar Islands,2025,0,0,0
hindu,Wed Apr 03 05:36:35 +0000 2019,सिड्नीको एक नेपाली हिन्दु परिवारको इशाई धर्मबारे विचार - क्रिस्चियन लाइक अस - आज भरे ८:३५ बजे एसबीएस टिभी मा |… https://t.co/uPybIGMNZB,Andaman & Nicobar Islands,422,0,0,0
amitshah,Tue Apr 09 10:58:47 +0000 2019,@Subytweets India is no more our India - Modi and Shah destroyed our country - there is no harmony and love ... the… https://t.co/IvlN7I4Q5R,Andaman & Nicobar Islands,709,0,0,0
amitshah,Mon Apr 08 09:12:57 +0000 2019,"பாஜகவின் தேர்தல் அறிக்கை - புதிய திட்டங்கள் என்ன?
மேலும் விபரங்களுக்கு பின்வரும் இணையதள முகவரியை அணுகவும்!… https://t.co/73U09vlAx6",Andaman & Nicobar Islands,18,0,0,0
amitshah,Mon Apr 08 09:07:32 +0000 2019,#election #politics #vote #nigeria #bjp #india #congress #elections #news #narendramodi #trump #nigeriadecides… https://t.co/g4Y9kpY8kb,Andaman & Nicobar Islands,1230,2,0,0
bjp,Mon Apr 08 11:55:06 +0000 2019,The manifesto makes no major promises or announcements that will be hard to deliver. #IndiaElections2019 #BJP… https://t.co/Ib7NP3Vkmh,Andaman & Nicobar Islands,448,0,0,0
NarendraModi,Mon Apr 08 11:30:58 +0000 2019,தமிழக மக்களிடம் நான் பேசியபோது அவர்கள் தண்ணீர் பற்றாக்குறையால் சந்திக்கும் பிரச்னைகள் புரிந்தன - இந்திய பிரதமர் மோ… https://t.co/OoXTAzZrXv,Andaman & Nicobar Islands,17405,1,0,0
ModiLaoDeshBanao,Sat Apr 06 11:37:00 +0000 2019,"भाई लोगों सावधान हो जायो, चुनावी मौसम में @Aajtak और @abpnewshindi खुलकर नमक का हक़ अदा कर रहा है, pm @narendramodi… https://t.co/B4ptbFpv1c",Andaman & Nicobar Islands,8763,10,4,2
ModiLaoDeshBanao,Sat Apr 06 11:56:09 +0000 2019,"Mood of Gujarat. We are getting all 26 Seats,  that is our gift to PM @narendramodi in Making of #NewIndia… https://t.co/JX4pb23Nnb",Andaman & Nicobar Islands,7943,55,23,1
namo,Sat Apr 06 08:53:36 +0000 2019,@dhaval241086 @Sarita25148177 @narendramodi @arunjaitley @OpIndia_com This creates a question. Ye unko kyu bachana… https://t.co/LpzODVoSCy,Andaman & Nicobar Islands,80,2,0,0
chowkidarNarendraModi,Sun Apr 07 11:00:00 +0000 2019,#UrjaaGuru #ArihantRishi #UrjaaBharat #UrjaaWorld #Politics #Elections2019 #PMO #ChowkidarNarendraModi #RahulGandhi… https://t.co/oAvDUv4hIT,Andaman & Nicobar Islands,705,0,0,0
hindu,Mon Apr 08 10:35:29 +0000 2019,#Navratri #jaimaadurga  #nainadevi  #jaimatadi #jaimaakali  #नवरात्रि #गुड़ी_पड़वा #Gudipadwa #navratrispecial… https://t.co/QaDHg0yoTR,Andaman & Nicobar Islands,551,6,8,0
modi,Fri Apr 05 11:29:03 +0000 2019,"@INCIndia @RahulGandhi Why is poverty, freebies &amp; reservation still a poll manifesto for #Congress after 60 yrs of… https://t.co/Yb9Wi17uky",Andaman & Nicobar Islands,19,0,0,0
bjp,Wed Apr 03 11:38:47 +0000 2019,#NarendraModi please release NAMO BIOPICS movie on Namo TV as soon as possible #BJP #BJPCandidateList,Andaman & Nicobar Islands,0,0,0,0
bjp,Fri Apr 05 11:33:27 +0000 2019,"'' वतन का खाया नमक तो नमकहलाल बनो, फर्ज ईमान की जिंदा यहां मिसाल बनो 
 #PMOIndia  #ABVP #BJP #narendramodi… https://t.co/kQdF7g8Lo4",Andaman & Nicobar Islands,41,2,0,0
bjp,Sun Apr 07 11:39:32 +0000 2019,"@Tej9193 @ShanNayakk @ParmarSvs Use to be until last 5 yrs whereof  #BJP rationalizing &amp; normalizing hate, bigotry,… https://t.co/y7Urj7wtGw",Andaman & Nicobar Islands,60,0,0,1
bjp,Tue Apr 09 11:50:02 +0000 2019,"Panjim by-poll on May 19
#Goa #PanjimElections #UtpalParrikar #BJP #Parrikar #Babush #GFP https://t.co/bySckcPTVZ https://t.co/LysSl2UkKB",Andaman & Nicobar Islands,445,0,0,0
modi,Tue Apr 02 11:09:02 +0000 2019,"@ndtv @arunjaitley How so ever Bluff #CongressManifesto is

But doesnt sounds like #Modi #AccheDin #15Lakhs #Jumla… https://t.co/5BOh7XKbkv",Andaman & Nicobar Islands,5,0,0,0
modi,Wed Apr 03 11:59:31 +0000 2019,@sardesairajdeep @vivekoberoi @IndiaToday I genuinely want to understand what do you mean by a bhakt? Is it a subst… https://t.co/QxmHBeiGgV,Andaman & Nicobar Islands,85,0,0,0
hindu,Wed Apr 03 08:46:14 +0000 2019,#Muslim Teachers Can Wear Abaya: #HumanRights Commission Of #SriLanka Rules https://t.co/zbKekUbsVZ #lka #Islam #Hindu #Religion,Andaman & Nicobar Islands,18649,20,11,0
hindu,Thu Apr 04 09:50:05 +0000 2019,"@mvmeet 20K+ tweets and 4K+ likes, 
99% of them dedicated to 
My nation #Bharat
My religion #Hindu
My PM #Modi",Andaman & Nicobar Islands,672,2,0,0
modi,Fri Apr 05 11:26:26 +0000 2019,"@sidmtweets Irony- she has done misdeeds under the instruction of #Modi,  who shunted her out like a used toilet paper.",Andaman & Nicobar Islands,286,2,1,0
modi,Sat Apr 06 11:46:57 +0000 2019,Now Opposition shouldn't think #modi is arm supplier https://t.co/w2fDVMY2RT,Andaman & Nicobar Islands,3,0,0,0
hindu,Sat Apr 06 10:55:52 +0000 2019,"Gudi Padwa 2019: Everything you need to know about the festival, from significance to rituals.
#GudiPadwa… https://t.co/jHXPXG7cqT",Andaman & Nicobar Islands,859,0,0,0
ModiLaoDeshBanao,Sun Apr 07 11:49:27 +0000 2019,"#CongressMuktBharat 
#BharatBoleModiModi
#Vote4BJP
#MainBhiChowkidar
#DeshKeLiyeModi 
#ModiLaoDeshBanao… https://t.co/d6rME3BELy",Andaman & Nicobar Islands,1295,0,0,0
modi,Mon Apr 08 11:51:14 +0000 2019,They are stooping to any low. Adityanath calling it #Modi ki sena is nothing new but Sambit Patra’s lunch drama at… https://t.co/waTSiuYKDe,Andaman & Nicobar Islands,37,3,1,0
ModiLaoDeshBanao,Mon Apr 08 11:12:32 +0000 2019,"#कोंग्रेस_संगठन_चोर_है 
#कोंग्रेस_भगाओ_देश_बचाओ 
#कोंग्रेस_मुक्त_भारत_स्वच्छ_भारत 
#IndiaWantsModiAgain… https://t.co/MgZTQ5oH7V",Andaman & Nicobar Islands,4608,23,24,2
hindu,Mon Apr 08 09:23:55 +0000 2019,"Why #Hindu #Hates #Congress in #India ? 

The criticism of Hindu Customs and traditions is a normal practice in Con… https://t.co/cTsn4dSZ8n",Andaman & Nicobar Islands,134,0,0,0
ModiLaoDeshBanao,Tue Apr 09 11:17:27 +0000 2019,"@ayush_gtm @DrRizwanAhmed1 @INCIndia Wow
 Great Acting. 
But I didn't understand one thing. 
Is it the last electio… https://t.co/g1AVgkbHz2",Andaman & Nicobar Islands,152,0,0,0
modi,Wed Apr 10 11:52:00 +0000 2019,"@abpnewshindi @INCIndia @nsitharaman @RahulGandhi ये जो चौकीदार है 
पाकिस्तान का यार है 

#ImranKhanPrimeMinister #Modi",Andaman & Nicobar Islands,1983,0,0,0
hindu,Wed Apr 10 09:04:06 +0000 2019,"@BluntPrabhat @Qcuumberinto @HaloONE123 @XHNews .
What's the matter, #Hindu blind #nationalist !

'Ya ain't capable… https://t.co/wURkN9CnJz",Andaman & Nicobar Islands,300,0,0,0
NarendraModi,Tue Apr 02 10:46:22 +0000 2019,"#NarendraModi #see_the_conditions #st.francisxaviers #kanpur 

Students are getting more then the total marking.. 😄 https://t.co/DzX3aF3yo3",Andaman & Nicobar Islands,15,0,0,0
amitshah,Tue Apr 02 09:36:52 +0000 2019,"#NarendraModi
#AmitShah
#ianuragsinghthakur
#premkumardhumal
#Anuragsinghthakur
#satpalsinghsatti 
श्री अनुराग ठाकु… https://t.co/yQmKaJdgCu",Andaman & Nicobar Islands,152,5,4,0
namo,Wed Apr 03 09:33:17 +0000 2019,They have planned to ruin the nation. Now their economists agree n say that it's possible with tax collection so ev… https://t.co/lwrr7oOlVs,Andaman & Nicobar Islands,9,2,0,0
NarendraModi,Thu Apr 04 10:55:54 +0000 2019,"दिल्ली: मार्च निकाल महिलाओं ने किया आह्वान- मोदी को हराओ, ये सरकार ले आई फासीवाद
https://t.co/QgCoSJ36jA
#India… https://t.co/M3LeBLq7wI",Andaman & Nicobar Islands,2579,0,0,0
amitshah,Thu Apr 04 07:13:41 +0000 2019,"#vdo_result_2018 
@myogiadityanath 🙏निवेदन है result घोषित करें 9 लाख 53 हजार का सपना वोट का नही पूरा होगा यदि नही… https://t.co/CYI7KtGXse",Andaman & Nicobar Islands,4,4,14,0
NarendraModi,Fri Apr 05 10:47:55 +0000 2019,"Americans have counted Pakistan’s F-16s and found none missing. So, what do you think, if Abhinandan hadn't hit a F… https://t.co/0UR2Yqjoqi",Andaman & Nicobar Islands,2554,2,2,1
NarendraModi,Sat Apr 06 11:48:01 +0000 2019,अखिलेश की पत्नी डिंपल यादव ने शनिवार को कन्नौज से अपना नामांकन दाखिल किया !!! #NarendraModi #PiBureau #www.politics… https://t.co/eLhMsQXz7w,Andaman & Nicobar Islands,259,0,0,0
amitshah,Sat Apr 06 10:55:21 +0000 2019,#साफ़नीयतसहीविकास #भारतीयजनतापार्टी #जिंदाबाद #BJP #WeSupportBharatBhushanKapoor #local #CandidateKnl… https://t.co/NnJYrbXka6,Andaman & Nicobar Islands,4,0,0,0
NarendraModi,Sun Apr 07 11:06:01 +0000 2019,"Media obsession with #NarendraModi be like 🤣🤣🤣 
#aajtak #IndianMedia #FakeNews #journalism @anjanaomkashyap… https://t.co/JU4wuljY4P",Andaman & Nicobar Islands,0,3,0,2
amitshah,Sun Apr 07 11:15:27 +0000 2019,@ICICIBank knows everything about the case but still not taking action #Corruption #money #power #AmitShah #NarendraModi #DigitalIndia,Andaman & Nicobar Islands,5,0,0,0
NarendraModi,Mon Apr 08 11:05:40 +0000 2019,"Congress leaders were counting the deficiencies of Modi government l NBC Hindi
https://t.co/JfzLSN9A6d #congress… https://t.co/FS1yV0BuS7",Andaman & Nicobar Islands,90,0,0,0
NarendraModi,Tue Apr 09 11:30:56 +0000 2019,https://t.co/PeNw7cxVjX @news18lndia #narendramodi #ajitdoval #Rajnathsingh @bjp4india #Iamwithindia #pmoindia -मू… https://t.co/laPUIZFRKN,Andaman & Nicobar Islands,3,0,0,0
amitshah,Tue Apr 09 10:40:59 +0000 2019,"#Nagpur #Maharashtra LIVE : BJP President #AmitShah जनता को कर रहे हैं संबोधित, सुप्रीम कोर्ट ने भी कहा कि हिन्दू… https://t.co/fUf7ssyRSd",Andaman & Nicobar Islands,9140,6,5,0
NarendraModi,Wed Apr 10 11:23:08 +0000 2019,apna वोट BJP को जाएगा(Narendra Modi) 🙏☝️#NarendraModiJindabad  make sure कि सभीलोग BJP votकरें।… https://t.co/EpAIuGiktR,Andaman & Nicobar Islands,0,3,1,0
amitshah,Wed Apr 10 03:58:06 +0000 2019,"రాహుల్ మద్దతిస్తే.. మేం మట్టుబెడుతున్నాం మళ్లీ మోదీయే ప్రధాని

#AmitShah #BJP #BJPTelangana #NarendraModi #TRS… https://t.co/2fNLkSpWlA",Andaman & Nicobar Islands,138,0,0,0
chowkidarNarendraModi,Tue Apr 02 10:01:44 +0000 2019,@BJP4India @AmitShah #BharatBoleModiModi #Chowkidars #ChowkidarChorHai #ChowkidarNarendraModi #Chowkidar… https://t.co/J6MobhthgB,Andaman & Nicobar Islands,22,1,0,0
ModiHaiToMumkinHai,Tue Apr 02 11:02:59 +0000 2019,"हमारे साथ आजाद हुए वो छोटे छोटे देश आज कहाँ से कहाँ निकल गए : Narendra Modi

Watch Modi's latest speeches in 3d vie… https://t.co/NYEbvvk1aE",Andaman & Nicobar Islands,12,0,0,0
maibhichowkidar,Wed Apr 03 06:02:54 +0000 2019,"आज कश्मीर से अलग प्रधानमंत्री की आवाज उठी कल बंगाल से उठेगी परसों केरल से 
इसलिए मेरा वोट सिर्फ 🌷 बीजेपी को

और आप… https://t.co/i7CoJQodDs",Andaman & Nicobar Islands,156,4,3,0
ModiHaiToMumkinHai,Wed Apr 03 10:35:17 +0000 2019,"🇮🇳🇮🇳🇮🇳#चौकीदार को नापसंद करने वाले दो तरह के लोग हैं : #PM #Modi🇮🇳🇮🇳🇮🇳

Watch Modi's latest speeches in 3d view, go… https://t.co/TzZg9SzaWY",Andaman & Nicobar Islands,12,0,0,0
maibhichowkidar,Thu Apr 04 08:11:44 +0000 2019,#MaiBhiChowkidar https://t.co/3LV8UbOekd,Andaman & Nicobar Islands,4,0,1,1
chowkidarNarendraModi,Thu Apr 04 06:58:11 +0000 2019,#Feku #Acchedin #IncredibleIndia #bhakts #Demonetisation #RafaelScam #ChowkidaarHiChorHai #LokSabhaElections2019… https://t.co/sHSBpTYnp9,Andaman & Nicobar Islands,57,0,0,0
chowkidarNarendraModi,Fri Apr 05 09:06:06 +0000 2019,"Now that #ChowkidarNarendraModi  is going on TV interview spree, I would like to see him getting interviewed by som… https://t.co/PogPeplW9V",Andaman & Nicobar Islands,7,1,0,0
ModiHaiToMumkinHai,Fri Apr 05 11:45:39 +0000 2019,"#BharatBoleModiModi
#ModiHaiToMumkinHai
#ModiLaoDeshBanao
1 Year of GST: Cleaner Economy with Increasing Formalisat… https://t.co/J6lnFXUcni",Andaman & Nicobar Islands,12,0,0,0
maibhichowkidar,Sat Apr 06 09:00:09 +0000 2019,#MaiBhiChowkidar https://t.co/FGmMwOvb8r,Andaman & Nicobar Islands,17,1,0,0
